Robert_Burns,18,24,28,20,32,38,50,26,34,42,55,28,36,40,34,50,52,46,42,72
Alexander_Fleming,10,15,18,12,20,26,35,18,25,32,40,20,28,30,25,36,38,34,30,45
John_Logie_Baird,8,12,15,10,18,22,30,15,22,28,36,18,25,27,22,32,34,30,26,41
Sean_Connery,16,22,26,18,28,34,45,22,30,38,50,24,32,36,30,46,48,42,36,65
Annie_Lennox,9,14,18,12,22,26,34,16,24,30,38,20,26,28,24,34,36,32,28,44
Chris_Hoy,20,28,32,24,38,44,60,30,40,48,65,32,42,46,40,60,62,55,50,80
Andy_Murray,11,16,20,14,24,28,36,20,26,32,40,22,28,30,28,36,38,34,30,58
Billy_Connolly,14,20,24,18,26,30,42,22,30,36,48,26,30,34,32,42,45,40,36,55
James_Clerk_Maxwell,13,21,25,17,29,34,44,20,32,40,50,24,34,38,32,48,50,44,40,60
Mary_Queen_of_Scots,6,10,12,8,15,18,26,12,18,24,30,16,20,22,20,28,30,26,22,39
Robert_the_Bruce,18,26,30,22,34,40,55,28,38,46,60,30,40,44,38,55,58,50,46,75
William_Wallace,9,13,17,11,20,24,32,15,22,28,36,18,26,28,24,34,36,32,28,53
David_Hume,12,18,22,16,24,30,39,21,28,34,44,23,30,33,29,40,43,39,35,57
Adam_Smith,15,19,23,17,27,31,41,20,29,35,46,24,31,35,30,42,44,40,37,59
Walter_Scott,10,14,19,13,21,27,33,17,24,31,39,21,27,29,25,35,37,33,29,47
James_Watt,17,23,27,21,31,37,49,25,33,41,53,27,35,39,34,49,51,45,41,68
Alexander_Graham_Bell,14,18,24,16,26,32,43,21,29,37,47,25,33,36,31,45,47,42,38,61
Karen_Gillan,8,11,16,12,19,23,31,14,21,27,35,17,24,26,23,31,34,29,25,43
Nicola_Sturgeon,13,17,21,15,25,29,38,19,27,33,43,22,29,32,28,39,41,37,33,56
Duncan_Bannatyne,11,15,20,14,23,28,37,18,26,31,42,21,28,31,27,38,40,35,32,54
